,Unnamed: 0,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,season
605791,605791,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,720,WAS,Jump ball: K. Porziis vs. L. James (K. Kuzma gains possession),0,LAL,,0,,,,,,,,,,,,,,,,,,,,,,,,K. Porziņģis - porzikr01,L. James - jamesle01,K. Kuzma - kuzmaky01,202122
605792,605792,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,705,WAS,K. Kuzma misses 2-pt jump shot from 13 ft,0,LAL,,0,K. Kuzma - kuzmaky01,2-pt jump shot,miss,13.0,,,,,,,,,,,,,,,,,,,,,,,202122
605793,605793,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,703,WAS,Offensive rebound by K. Porziis,0,LAL,,0,,,,,,,,,,K. Porziņģis - porzikr01,offensive,,,,,,,,,,,,,,,,202122
605794,605794,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,702,WAS,C. Kispert makes 2-pt layup from 1 ft (assist by K. Porziis),2,LAL,,0,C. Kispert - kispeco01,2-pt layup,make,1.0,K. Porziņģis - porzikr01,,,,,,,,,,,,,,,,,,,,,,202122
605795,605795,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,687,WAS,,2,LAL,L. James makes 3-pt jump shot from 26 ft (assist by R. Westbrook),3,L. James - jamesle01,3-pt jump shot,make,26.0,R. Westbrook - westbru01,,,,,,,,,,,,,,,,,,,,,,202122
605796,605796,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,665,WAS,,2,LAL,Violation by Team (kicked ball),3,,,,,,,,,,,,Team,kicked ball,,,,,,,,,,,,,,202122
605797,605797,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,658,WAS,K. Kuzma misses 3-pt jump shot from 25 ft,2,LAL,,3,K. Kuzma - kuzmaky01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
605798,605798,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,656,WAS,,2,LAL,Defensive rebound by S. Johnson,3,,,,,,,,,,S. Johnson - johnsst04,defensive,,,,,,,,,,,,,,,,202122
605799,605799,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,643,WAS,,2,LAL,Shooting foul by K. Kuzma (drawn by R. Westbrook),3,,,,,,,shooting,K. Kuzma - kuzmaky01,R. Westbrook - westbru01,,,,,,,,,,,,,,,,,,202122
605800,605800,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,643,WAS,,2,LAL,R. Westbrook makes free throw 1 of 2,4,,,,,,,,,,,,,,,R. Westbrook - westbru01,make,1 of 2,,,,,,,,,,202122
605801,605801,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,643,WAS,,2,LAL,R. Westbrook misses free throw 2 of 2,4,,,,,,,,,,,,,,,R. Westbrook - westbru01,miss,2 of 2,,,,,,,,,,202122
605802,605802,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,641,WAS,Defensive rebound by K. Porziis,2,LAL,,4,,,,,,,,,,K. Porziņģis - porzikr01,defensive,,,,,,,,,,,,,,,,202122
605803,605803,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,624,WAS,R. Neto misses 2-pt layup from 3 ft,2,LAL,,4,R. Neto - netora01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
605804,605804,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,624,WAS,Offensive rebound by Team,2,LAL,,4,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,202122
605805,605805,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,623,WAS,Shooting foul by S. Johnson (drawn by K. Porziis),2,LAL,,4,,,,,,,shooting,S. Johnson - johnsst04,K. Porziņģis - porzikr01,,,,,,,,,,,,,,,,,,202122
605806,605806,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,623,WAS,K. Porziis makes free throw 1 of 2,3,LAL,,4,,,,,,,,,,,,,,,K. Porziņģis - porzikr01,make,1 of 2,,,,,,,,,,202122
605807,605807,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,623,WAS,K. Porziis makes free throw 2 of 2,4,LAL,,4,,,,,,,,,,,,,,,K. Porziņģis - porzikr01,make,2 of 2,,,,,,,,,,202122
605808,605808,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,604,WAS,,4,LAL,M. Monk makes 2-pt layup from 1 ft (assist by L. James),6,M. Monk - monkma01,2-pt layup,make,1.0,L. James - jamesle01,,,,,,,,,,,,,,,,,,,,,,202122
605809,605809,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,590,WAS,K. Kuzma misses 3-pt jump shot from 24 ft,4,LAL,,6,K. Kuzma - kuzmaky01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,202122
605810,605810,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,588,WAS,,4,LAL,Defensive rebound by S. Johnson,6,,,,,,,,,,S. Johnson - johnsst04,defensive,,,,,,,,,,,,,,,,202122
605811,605811,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,578,WAS,,4,LAL,A. Reaves makes 2-pt layup from 2 ft (assist by L. James),8,A. Reaves - reaveau01,2-pt layup,make,2.0,L. James - jamesle01,,,,,,,,,,,,,,,,,,,,,,202122
605812,605812,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,556,WAS,C. Kispert misses 3-pt jump shot from 23 ft,4,LAL,,8,C. Kispert - kispeco01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,202122
605813,605813,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,556,WAS,,4,LAL,Defensive rebound by L. James,8,,,,,,,,,,L. James - jamesle01,defensive,,,,,,,,,,,,,,,,202122
605814,605814,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,549,WAS,,4,LAL,L. James misses 3-pt jump shot from 26 ft,8,L. James - jamesle01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
605815,605815,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,547,WAS,Defensive rebound by Team,4,LAL,,8,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,202122
605816,605816,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,533,WAS,Turnover by K. Kuzma (bad pass),4,LAL,,8,,,,,,,,,,,,,,,,,,,,K. Kuzma - kuzmaky01,bad pass,,,,,,202122
605817,605817,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,519,WAS,,4,LAL,L. James makes 2-pt jump shot from 18 ft,10,L. James - jamesle01,2-pt jump shot,make,18.0,,,,,,,,,,,,,,,,,,,,,,,202122
605818,605818,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,508,WAS,K. Porziis makes 2-pt jump shot from 15 ft (assist by R. Neto),6,LAL,,10,K. Porziņģis - porzikr01,2-pt jump shot,make,15.0,R. Neto - netora01,,,,,,,,,,,,,,,,,,,,,,202122
605819,605819,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,490,WAS,,6,LAL,S. Johnson misses 3-pt jump shot from 26 ft,10,S. Johnson - johnsst04,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
605820,605820,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,487,WAS,Defensive rebound by K. Porziis,6,LAL,,10,,,,,,,,,,K. Porziņģis - porzikr01,defensive,,,,,,,,,,,,,,,,202122
605821,605821,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,481,WAS,C. Kispert makes 3-pt jump shot from 23 ft (assist by K. Kuzma),9,LAL,,10,C. Kispert - kispeco01,3-pt jump shot,make,23.0,K. Kuzma - kuzmaky01,,,,,,,,,,,,,,,,,,,,,,202122
605822,605822,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,468,WAS,,9,LAL,M. Monk makes 3-pt jump shot from 27 ft (assist by A. Reaves),13,M. Monk - monkma01,3-pt jump shot,make,27.0,A. Reaves - reaveau01,,,,,,,,,,,,,,,,,,,,,,202122
605823,605823,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,454,WAS,K. Kuzma makes 2-pt layup from 3 ft,11,LAL,,13,K. Kuzma - kuzmaky01,2-pt layup,make,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
605824,605824,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,445,WAS,,11,LAL,M. Monk makes 2-pt dunk from 1 ft (assist by L. James),15,M. Monk - monkma01,2-pt dunk,make,1.0,L. James - jamesle01,,,,,,,,,,,,,,,,,,,,,,202122
605825,605825,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,445,WAS,Washington full timeout,11,LAL,,15,,,,,,,,,,,,,,WAS,,,,,,,,,,,,,202122
605826,605826,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,423,WAS,R. Neto misses 2-pt layup from 3 ft,11,LAL,,15,R. Neto - netora01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,202122
605827,605827,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,418,WAS,Offensive rebound by K. Kuzma,11,LAL,,15,,,,,,,,,,K. Kuzma - kuzmaky01,offensive,,,,,,,,,,,,,,,,202122
605828,605828,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,418,WAS,K. Kuzma makes 2-pt dunk at rim,13,LAL,,15,K. Kuzma - kuzmaky01,2-pt dunk,make,0.0,,,,,,,,,,,,,,,,,,,,,,,202122
605829,605829,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,410,WAS,,13,LAL,L. James makes 2-pt dunk from 1 ft (assist by A. Reaves),17,L. James - jamesle01,2-pt dunk,make,1.0,A. Reaves - reaveau01,,,,,,,,,,,,,,,,,,,,,,202122
605830,605830,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,400,WAS,K. Porziis misses 3-pt jump shot from 28 ft,13,LAL,,17,K. Porziņģis - porzikr01,3-pt jump shot,miss,28.0,,,,,,,,,,,,,,,,,,,,,,,202122
605831,605831,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,398,WAS,,13,LAL,Defensive rebound by S. Johnson,17,,,,,,,,,,S. Johnson - johnsst04,defensive,,,,,,,,,,,,,,,,202122
605832,605832,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,394,WAS,,13,LAL,R. Westbrook misses 2-pt jump shot from 16 ft,17,R. Westbrook - westbru01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,,202122
605833,605833,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,391,WAS,Defensive rebound by K. Porziis,13,LAL,,17,,,,,,,,,,K. Porziņģis - porzikr01,defensive,,,,,,,,,,,,,,,,202122
605834,605834,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,384,WAS,R. Neto misses 3-pt jump shot from 25 ft,13,LAL,,17,R. Neto - netora01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,202122
605835,605835,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,381,WAS,,13,LAL,Defensive rebound by A. Reaves,17,,,,,,,,,,A. Reaves - reaveau01,defensive,,,,,,,,,,,,,,,,202122
605836,605836,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,376,WAS,,13,LAL,Turnover by A. Reaves (bad pass; steal by K. Porziis),17,,,,,,,,,,,,,,,,,,,,A. Reaves - reaveau01,bad pass,steal,K. Porziņģis - porzikr01,,,,202122
605837,605837,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,372,WAS,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by A. Reaves),13,LAL,,17,K. Caldwell-Pope - caldwke01,2-pt layup,miss,3.0,,A. Reaves - reaveau01,,,,,,,,,,,,,,,,,,,,,202122
605838,605838,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,372,WAS,,13,LAL,Defensive rebound by Team,17,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,202122
605839,605839,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,372,WAS,D. Avdija enters the game for C. Kispert,13,LAL,,17,,,,,,,,,,,,,,,,,,D. Avdija - avdijde01,C. Kispert - kispeco01,,,,,,,,202122
605840,605840,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,372,WAS,D. Gafford enters the game for K. Porziis,13,LAL,,17,,,,,,,,,,,,,,,,,,D. Gafford - gaffoda01,K. Porziņģis - porzikr01,,,,,,,,202122
605841,605841,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,372,WAS,,13,LAL,C. Anthony enters the game for L. James,17,,,,,,,,,,,,,,,,,,C. Anthony - anthoca01,L. James - jamesle01,,,,,,,,202122
605842,605842,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,372,WAS,,13,LAL,T. Horton-Tucker enters the game for R. Westbrook,17,,,,,,,,,,,,,,,,,,T. Horton-Tucker - hortota01,R. Westbrook - westbru01,,,,,,,,202122
605843,605843,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,348,WAS,,13,LAL,C. Anthony misses 3-pt jump shot from 26 ft,17,C. Anthony - anthoca01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
605844,605844,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,345,WAS,Defensive rebound by D. Gafford,13,LAL,,17,,,,,,,,,,D. Gafford - gaffoda01,defensive,,,,,,,,,,,,,,,,202122
605845,605845,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,342,WAS,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,13,LAL,,17,K. Caldwell-Pope - caldwke01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,202122
605846,605846,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,338,WAS,,13,LAL,Defensive rebound by A. Reaves,17,,,,,,,,,,A. Reaves - reaveau01,defensive,,,,,,,,,,,,,,,,202122
605847,605847,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,327,WAS,,13,LAL,C. Anthony misses 2-pt jump shot from 19 ft,17,C. Anthony - anthoca01,2-pt jump shot,miss,19.0,,,,,,,,,,,,,,,,,,,,,,,202122
605848,605848,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,324,WAS,Defensive rebound by K. Kuzma,13,LAL,,17,,,,,,,,,,K. Kuzma - kuzmaky01,defensive,,,,,,,,,,,,,,,,202122
605849,605849,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,316,WAS,Personal foul by A. Reaves (drawn by R. Neto),13,LAL,,17,,,,,,,personal,A. Reaves - reaveau01,R. Neto - netora01,,,,,,,,,,,,,,,,,,202122
605850,605850,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,306,WAS,D. Avdija misses 3-pt jump shot from 24 ft,13,LAL,,17,D. Avdija - avdijde01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,202122
605851,605851,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,304,WAS,,13,LAL,Defensive rebound by S. Johnson,17,,,,,,,,,,S. Johnson - johnsst04,defensive,,,,,,,,,,,,,,,,202122
605852,605852,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,299,WAS,,13,LAL,Personal foul by K. Caldwell-Pope (drawn by A. Reaves),17,,,,,,,personal,K. Caldwell-Pope - caldwke01,A. Reaves - reaveau01,,,,,,,,,,,,,,,,,,202122
605853,605853,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,291,WAS,,13,LAL,M. Monk misses 2-pt jump shot from 16 ft,17,M. Monk - monkma01,2-pt jump shot,miss,16.0,,,,,,,,,,,,,,,,,,,,,,,202122
605854,605854,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,289,WAS,,13,LAL,Offensive rebound by S. Johnson,17,,,,,,,,,,S. Johnson - johnsst04,offensive,,,,,,,,,,,,,,,,202122
605855,605855,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,281,WAS,,13,LAL,A. Reaves misses 3-pt jump shot from 24 ft,17,A. Reaves - reaveau01,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,202122
605856,605856,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,280,WAS,Defensive rebound by D. Gafford,13,LAL,,17,,,,,,,,,,D. Gafford - gaffoda01,defensive,,,,,,,,,,,,,,,,202122
605857,605857,boxscore/202203110LAL.html,regular,Crypto.com Arena Los Angeles California,March 11 2022,10:30 PM,LAL,1,280,WAS,Turnover by D. Gafford (bad pass),13,LAL,,17,,,,,,,,,,,,,,,,,,,,D. Gafford - gaffoda01,bad pass,,,,,,202122
